city,consultation_fee,degree,dp_score,location,name,npv,profile_url,scraped_at,speciality,year_of_experience
Bangalore,500,BDS,93.0,,Dr. Sanjay Kaul,0,https://www.practo.com/bangalore/doctor/dr-sanjay-kaul-dentist-1/recommended?practice_id=697572&specialization=Dentist&referrer=doctor_listing&page_uid=c8385956-3900-4fc3-98b1-73750b815e53,2025-08-16T19:02:50.778774,Dentist,
Bangalore,350,BDS,98.0,,Dr. Minty Sharma,0,https://www.practo.com/bangalore/doctor/dr-minty-sharma-dentist/recommended?practice_id=655196&specialization=Dentist&referrer=doctor_listing&page_uid=9e9f92c6-7d6c-4660-bacc-47650bcc4e9b,2025-08-16T19:02:59.885283,Dentist,
Bangalore,500,BDS,98.0,,Dr. Jonathan Eric Rao,0,https://www.practo.com/bangalore/doctor/dr-jonathan-1-dentist/recommended?practice_id=1028398&specialization=Dentist&referrer=doctor_listing&page_uid=e69ffd3a-d292-4586-a708-65322c64b5c5,2025-08-16T19:03:08.924204,Dentist,
Bangalore,400,BDS,100.0,,Dr. Kiran Raj N,0,https://www.practo.com/bangalore/doctor/dr-kiran-raj-n-dentist-1/recommended?practice_id=1140261&specialization=Dentist&referrer=doctor_listing&page_uid=9ccd3eae-c343-48fa-8858-9642925db200,2025-08-16T19:03:17.900991,Dentist,
Bangalore,300,BDS,99.0,,Dr. Umesh B M,0,https://www.practo.com/bangalore/doctor/dr-umesh-b-m-dentist/recommended?practice_id=615098&specialization=Dentist&referrer=doctor_listing&page_uid=681d7633-9729-4eec-9ede-ba3509cd6ab3,2025-08-16T19:03:26.957757,Dentist,
Bangalore,500,BDS,95.0,,Dr. Prof. Anuradha Navaneetham,0,https://www.practo.com/bangalore/doctor/dr-anuradha-3-oral-surgeon/recommended?practice_id=668076&specialization=Dentist&referrer=doctor_listing&page_uid=b008d754-4b85-4ae9-9697-2e7bfe7c0b5b,2025-08-16T19:03:35.972020,Dentist,
Bangalore,500,BDS,94.0,,Dr. Raghavendra K,0,https://www.practo.com/bangalore/doctor/dr-raghavendra-k-dentist/recommended?practice_id=679778&specialization=Dentist&referrer=doctor_listing&page_uid=870ebfbb-c7c4-4311-afd5-c6dbc1c9c58c,2025-08-16T19:03:44.962158,Dentist,
Bangalore,600,BDS,92.0,,Dr. Sandhya Karthik,0,https://www.practo.com/bangalore/doctor/dr-sandhya-karthik-dentist/recommended?practice_id=648444&specialization=Dentist&referrer=doctor_listing&page_uid=9bdf37b3-19c0-444a-8967-8ffd8de62965,2025-08-16T19:03:54.340266,Dentist,
Bangalore,300,BDS,97.0,,Dr. Rhea Mathew,0,https://www.practo.com/bangalore/doctor/rhea-s-mathew-dentist-dentist/recommended?practice_id=689062&specialization=Dentist&referrer=doctor_listing&page_uid=439aedfb-22a4-45ae-987c-23e83a94fffe,2025-08-16T19:04:02.994101,Dentist,
Bangalore,500,BDS,98.0,,Dr. Sujatha Pai B,0,https://www.practo.com/bangalore/doctor/dr-sujatha-pai-b-dentist/recommended?practice_id=668754&specialization=Dentist&referrer=doctor_listing&page_uid=a98712c3-6bef-4bc3-bb98-e9a1c023abd0,2025-08-16T19:04:13.150557,Dentist,
Bangalore,1000,MBBS,86.0,,Dr. Girish B Navasundi,0,https://www.practo.com/bangalore/doctor/girish-b-navasundi-cardiologist/recommended?practice_id=814706&specialization=Cardiologist&referrer=doctor_listing&page_uid=7e7cadc2-2348-4960-8b48-a6095d21a34d,2025-08-16T19:04:14.959880,Cardiologist,
Bangalore,500,BDS,93.0,,Dr. Hemalatha Sanjay,0,https://www.practo.com/bangalore/doctor/dr-hemalatha-sanjay-dentist/recommended?practice_id=650556&specialization=Dentist&referrer=doctor_listing&page_uid=128a20b4-aa2f-4ce1-82f6-02b3b4e1b3ee,2025-08-16T19:04:20.976316,Dentist,
Bangalore,500,BDS,93.0,JP Nagar 6 Phase,Dr. Hemalatha Sanjay,0,https://www.practo.com/bangalore/doctor/dr-hemalatha-sanjay-dentist?practice_id=650556&specialization=Dentist&referrer=doctor_listing&page_uid=128a20b4-aa2f-4ce1-82f6-02b3b4e1b3ee,2025-08-16T19:04:23.994684,Dentist,
Bangalore,500,BDS,91.0,,Dr. P S Lakshmi,0,https://www.practo.com/bangalore/doctor/p-s-lakshmi-1-dentist/recommended?practice_id=740273&specialization=Dentist&referrer=doctor_listing&page_uid=955c3a70-973c-43ba-8db3-8f800d536d58,2025-08-16T19:04:30.011675,Dentist,
