name,speciality,degree,year_of_experience,location,city,dp_score,npv,consultation_fee,profile_url,google_map_link,scraped_at,source_file
Dr Preeti's Diabetes Care Clinic,Anesthesiologist,,2.0,"Dr Preeti's Diabetes Care Clinic, Jayanagar, Bangalore: Practo",Bangalore,,2.0,0.0,https://www.practo.com/Bangalore/clinic/dr-preeti-s-diabetes-care-clinic-jayanagar-9-block,"https://www.google.com/maps/dir//12.918186442602,77.596762525215",2025-08-18T00:49:51.487488,cleaned_doctors_full.csv
Dr. (Mrs.) Vishnu Vandana,"Gynecologist, Infertility Specialist",MBBS,,HSR Layout,Bangalore,95.0,0.0,600.0,https://www.practo.com/bangalore/doctor/-mrs-vishnu-vandana-gynecologist-obstetrician/recommended?practice_id=1322328&specialization=Gynecologist&referrer=doctor_listing&page_uid=68f115e0-7ade-471c-b699-89681300caeb,,2025-08-16T20:30:32.392606,bangalore_enhanced.csv
Dr. (Prof) Deepak Daryani,Dentist,MDS,,HSR Layout,Bangalore,99.0,0.0,500.0,https://www.practo.com/bangalore/doctor/dr-deepak-daryani-dentist/recommended?practice_id=707835&specialization=Dentist&referrer=doctor_listing&page_uid=a98712c3-6bef-4bc3-bb98-e9a1c023abd0,,2025-08-16T19:15:08.300473,bangalore_enhanced.csv
Dr. A Aruna Prasad,Dermatologist,MBBS,,Yeshwanthpur,Bangalore,90.0,0.0,950.0,https://www.practo.com/bangalore/doctor/dr-a-aruna-prasad-dermatologist-dermatologist/recommended?practice_id=1131812&specialization=Dermatologist&referrer=doctor_listing&page_uid=fa7c5974-1090-43e1-a770-31d9aa3f58b8,,2025-08-16T19:44:00.023244,bangalore_enhanced.csv
Dr. A Indira Priyanka,Ophthalmologist,MBBS,,Shivaji Nagar,Bangalore,,,500.0,https://www.practo.com/bangalore/doctor/dr-a-indira-priyanka-ophthalmologist/recommended?practice_id=636882&specialization=Ophthalmologist&referrer=doctor_listing&page_uid=c06c343e-bc45-488d-866f-9d3692015a93,,2025-08-16T21:15:37.796738,bangalore_enhanced.csv
Dr. A Naga Srinivaas,Cardiologist,MBBS,37.0,Hoodi,Bangalore,98.0,1.0,1000.0,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=cec2f9f9-209f-46f8-bc13-dfee2b4dfa34,"http://www.google.com/maps/place/12.9912,77.7232",2025-08-16T19:33:43.342045,"bangalore_enhanced.csv, cleaned_doctors_full.csv"
Dr. A. Divya,Dentist,BDS,,Siddapura,Bangalore,98.0,0.0,500.0,https://www.practo.com/bangalore/doctor/a-divya-dentist-2/recommended?practice_id=1312484&specialization=Dentist&referrer=doctor_listing&page_uid=955c3a70-973c-43ba-8db3-8f800d536d58,,2025-08-16T19:13:13.532694,bangalore_enhanced.csv
Dr. A. Praveen Kumar Reddy,Dentist,BDS,,Whitefield,Bangalore,97.0,0.0,500.0,https://www.practo.com/bangalore/doctor/a-praveen-kumar-reddy-dentist/recommended?practice_id=1409516&specialization=Dentist&referrer=doctor_listing&page_uid=9ccd3eae-c343-48fa-8858-9642925db200,,2025-08-16T19:26:18.412616,bangalore_enhanced.csv
Dr. A.C.Praveen Kumar,Gastroenterologist,MBBS,,Indiranagar,Bangalore,,,600.0,https://www.practo.com/bangalore/doctor/dr-a-c-praveen-kumar-gastroenterologist/recommended?practice_id=625693&specialization=Gastroenterologist&referrer=doctor_listing&page_uid=4e6d29cb-fd4d-4c9e-98a1-8b9a74bdb7ea,,2025-08-16T19:51:01.214475,bangalore_enhanced.csv
Dr. A.K. Roy,Neurologist,MBBS,45.0,Old Airport Road,Bangalore,52.0,1.0,1300.0,https://www.practo.com/bangalore/doctor/dr-ajith-kumar-roy-neurologist-2/recommended?practice_id=630200&specialization=Neurologist&referrer=doctor_listing&page_uid=3ee29ec1-cf81-4922-986c-28282e100398,"https://www.google.com/maps/search/Dr.+A.K.+Roy+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-16T20:56:23.029668,"bangalore_enhanced.csv, cleaned_doctors_full.csv"
